month_year,match_status,Police_district_Number,count
2019-07,Dispatch,5D,2195
2019-07,Dispatch,6D,2851
2019-07,Match,1D,327
2019-07,Match,2D,257
2019-07,Match,3D,367
2019-07,Match,4D,328
2019-07,Match,5D,132
2019-07,Match,6D,205
2019-07,Match,Unknown,4
2019-08,Crime,1D,44
2019-08,Crime,2D,32
2019-08,Crime,3D,155
2019-08,Crime,4D,83
2019-08,Crime,5D,20
2019-08,Crime,6D,45
2019-08,Crime,TPPD,90
2019-08,Crime,Unknown,4
2019-08,Dispatch,1D,2700
2019-08,Dispatch,2D,2522
2019-08,Dispatch,3D,3226
2019-08,Dispatch,4D,3148
2019-08,Dispatch,5D,2042
2019-08,Dispatch,6D,2842
2019-08,Match,1D,340
2019-08,Match,2D,266
2019-08,Match,3D,300
2019-08,Match,4D,305
2019-08,Match,5D,125
2019-08,Match,6D,260
2019-08,Match,Unknown,2
2019-09,Crime,1D,56
2019-09,Crime,2D,17
2019-09,Crime,3D,111
2019-09,Crime,4D,103
2019-09,Crime,5D,24
2019-09,Crime,6D,46
2019-09,Crime,TPPD,67
2019-09,Dispatch,1D,2590
2019-09,Dispatch,2D,2457
2019-09,Dispatch,3D,3093
2019-09,Dispatch,4D,3194
2019-09,Dispatch,5D,1995
2019-09,Dispatch,6D,2670
2019-09,Match,1D,253
2019-09,Match,2D,263
2019-09,Match,3D,287
2019-09,Match,4D,307
2019-09,Match,5D,106
2019-09,Match,6D,243
2019-09,Match,TPPD,1
2019-10,Crime,1D,65
2019-10,Crime,2D,25
2019-10,Crime,3D,118
2019-10,Crime,4D,93
2019-10,Crime,5D,23
2019-10,Crime,6D,46
2019-10,Crime,TPPD,88
2019-10,Dispatch,1D,2679
2019-10,Dispatch,2D,2563
2019-10,Dispatch,3D,3150
2019-10,Dispatch,4D,3303
2019-10,Dispatch,5D,2068
2019-10,Dispatch,6D,2868
2019-10,Dispatch,OOC,1
2019-10,Match,1D,261
2019-10,Match,2D,269
2019-10,Match,3D,365
2019-10,Match,4D,326
2019-10,Match,5D,90
2019-10,Match,6D,221
2019-10,Match,Unknown,4
2019-11,Crime,1D,75
2019-11,Crime,2D,73
2019-11,Crime,3D,101
2019-11,Crime,4D,97
2019-11,Crime,5D,21
2019-11,Crime,6D,48
2019-11,Crime,TPPD,73
2019-11,Dispatch,1D,2589
2019-11,Dispatch,2D,2409
2019-11,Dispatch,3D,2977
2019-11,Dispatch,4D,3005
2019-11,Dispatch,5D,1964
2019-11,Dispatch,6D,2579
2019-11,Dispatch,OOC,5
2019-11,Match,1D,271
2019-11,Match,2D,270
2019-11,Match,3D,319
2019-11,Match,4D,344
2019-11,Match,5D,115
2019-11,Match,6D,219
2019-12,Crime,1D,46
2019-12,Crime,2D,44
2019-12,Crime,3D,122
