month_year,Crime Name1,Crime Name2,count
2019-03,Crime Against Property,Burglary/Breaking and Entering,71
2019-03,Crime Against Property,Counterfeiting/Forgery,21
2019-03,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,25
2019-03,Crime Against Property,Destruction/Damage/Vandalism of Property,144
2019-03,Crime Against Property,Embezzlement,3
2019-03,Crime Against Property,Extortion/Blackmail,4
2019-03,Crime Against Property,False Pretenses/Swindle/Confidence Game,31
2019-03,Crime Against Property,Identity Theft,36
2019-03,Crime Against Property,Impersonation,2
2019-03,Crime Against Property,Motor Vehicle Theft,56
2019-03,Crime Against Property,Pocket/picking,8
2019-03,Crime Against Property,Purse-snatching,2
2019-03,Crime Against Property,Robbery,26
2019-03,Crime Against Property,Shoplifting,104
2019-03,Crime Against Property,Theft From Motor Vehicle,239
2019-03,Crime Against Property,Theft from Building,114
2019-03,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,54
2019-03,Crime Against Property,Wire Fraud,1
2019-03,Crime Against Society,All Other Offenses,388
2019-03,Crime Against Society,Animal Cruelty,1
2019-03,Crime Against Society,Assisting or Promoting Prostitution,1
2019-03,Crime Against Society,Disorderly Conduct,49
2019-03,Crime Against Society,Driving Under the Influence,89
2019-03,Crime Against Society,Drug Equipment Violations,8
2019-03,Crime Against Society,Drug/Narcotic Violations,162
2019-03,Crime Against Society,"Family Offenses, NonViolent",3
2019-03,Crime Against Society,Liquor Law Violations,29
2019-03,Crime Against Society,Pornography/Obscene Material,2
2019-03,Crime Against Society,Prostitution,1
2019-03,Crime Against Society,Trespass of Real Property,37
2019-03,Crime Against Society,Weapon Law Violations,13
2019-04,Crime Against Not a Crime,Runaway,17
2019-04,Crime Against Person,Aggravated Assault,19
2019-04,Crime Against Person,Forcible Fondling,9
2019-04,Crime Against Person,Forcible Rape,8
2019-04,Crime Against Person,Forcible Sodomy,6
2019-04,Crime Against Person,"Human Trafficking, Commercial Sex Acts",1
2019-04,Crime Against Person,Sexual Assault With An Object,1
2019-04,Crime Against Person,Simple Assault,97
2019-04,Crime Against Person,Statuory Rape,1
2019-04,Crime Against Property,All other Larceny,122
2019-04,Crime Against Property,Burglary/Breaking and Entering,56
2019-04,Crime Against Property,Counterfeiting/Forgery,18
2019-04,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,17
2019-04,Crime Against Property,Destruction/Damage/Vandalism of Property,165
2019-04,Crime Against Property,False Pretenses/Swindle/Confidence Game,29
2019-04,Crime Against Property,Identity Theft,35
2019-04,Crime Against Property,Impersonation,2
2019-04,Crime Against Property,Motor Vehicle Theft,52
2019-04,Crime Against Property,Pocket/picking,4
2019-04,Crime Against Property,Purse-snatching,1
2019-04,Crime Against Property,Robbery,17
2019-04,Crime Against Property,Shoplifting,87
2019-04,Crime Against Property,Stolen Property Offenses,3
2019-04,Crime Against Property,Theft From Motor Vehicle,276
2019-04,Crime Against Property,Theft from Building,83
2019-04,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,65
2019-04,Crime Against Property,Wire Fraud,3
2019-04,Crime Against Society,All Other Offenses,423
