month_year,Agency,Crime Name1,count
2020-01,GPD,Crime Against Society,17
2020-01,MCPD,Crime Against Not a Crime,10
2020-01,MCPD,Crime Against Person,117
2020-01,MCPD,Crime Against Property,1013
2020-01,MCPD,Crime Against Society,497
2020-01,RCPD,Crime Against Not a Crime,1
2020-01,RCPD,Crime Against Person,15
2020-01,RCPD,Crime Against Property,79
2020-01,RCPD,Crime Against Society,116
2020-01,TPPD,Crime Against Person,5
2020-01,TPPD,Crime Against Property,67
2020-01,TPPD,Crime Against Society,21
2020-02,GPD,Crime Against Person,3
2020-02,GPD,Crime Against Property,48
2020-02,GPD,Crime Against Society,15
2020-02,MCPD,Crime Against Not a Crime,17
2020-02,MCPD,Crime Against Person,87
2020-02,MCPD,Crime Against Property,857
2020-02,MCPD,Crime Against Society,538
2020-02,RCPD,Crime Against Person,23
2020-02,RCPD,Crime Against Property,80
2020-02,RCPD,Crime Against Society,78
2020-02,TPPD,Crime Against Person,5
2020-02,TPPD,Crime Against Property,40
2020-02,TPPD,Crime Against Society,31
2020-03,GPD,Crime Against Not a Crime,1
2020-03,GPD,Crime Against Person,6
2020-03,GPD,Crime Against Property,17
2020-03,GPD,Crime Against Society,4
2020-03,MCPD,Crime Against Not a Crime,22
2020-03,MCPD,Crime Against Person,102
2020-03,MCPD,Crime Against Property,1010
2020-03,MCPD,Crime Against Society,445
2020-03,RCPD,Crime Against Not a Crime,1
2020-03,RCPD,Crime Against Person,19
2020-03,RCPD,Crime Against Property,68
2020-03,RCPD,Crime Against Society,88
2020-03,TPPD,Crime Against Not a Crime,2
2020-03,TPPD,Crime Against Person,4
2020-03,TPPD,Crime Against Property,42
2020-03,TPPD,Crime Against Society,28
2020-04,GPD,Crime Against Person,2
2020-04,GPD,Crime Against Property,6
2020-04,GPD,Crime Against Society,8
2020-04,MCPD,Crime Against Not a Crime,13
2020-04,MCPD,Crime Against Person,86
2020-04,MCPD,Crime Against Property,875
2020-04,MCPD,Crime Against Society,258
2020-04,RCPD,Crime Against Person,10
2020-04,RCPD,Crime Against Property,28
2020-04,RCPD,Crime Against Society,48
2020-04,TPPD,Crime Against Not a Crime,1
2020-04,TPPD,Crime Against Person,4
2020-04,TPPD,Crime Against Property,46
2020-04,TPPD,Crime Against Society,10
2020-05,GPD,Crime Against Person,1
2020-05,GPD,Crime Against Property,13
2020-05,GPD,Crime Against Society,3
2020-05,MCPD,Crime Against Not a Crime,14
2020-05,MCPD,Crime Against Person,86
2020-05,MCPD,Crime Against Property,1016
2020-05,MCPD,Crime Against Society,317
2020-05,RCPD,Crime Against Person,25
2020-05,RCPD,Crime Against Property,89
2020-05,RCPD,Crime Against Society,81
2020-05,TPPD,Crime Against Person,4
2020-05,TPPD,Crime Against Property,48
2020-05,TPPD,Crime Against Society,19
2020-06,GPD,Crime Against Person,10
2020-06,GPD,Crime Against Property,14
2020-06,GPD,Crime Against Society,17
2020-06,MCPD,Crime Against Not a Crime,8
2020-06,MCPD,Crime Against Person,81
2020-06,MCPD,Crime Against Property,1094
2020-06,MCPD,Crime Against Society,293
2020-06,RCPD,Crime Against Person,21
2020-06,RCPD,Crime Against Property,76
2020-06,RCPD,Crime Against Society,78
2020-06,TPPD,Crime Against Person,5
2020-06,TPPD,Crime Against Property,45
2020-06,TPPD,Crime Against Society,14
2020-07,GPD,Crime Against Person,4
2020-07,GPD,Crime Against Property,14
2020-07,GPD,Crime Against Society,7
2020-07,MCPD,Crime Against Not a Crime,7
2020-07,MCPD,Crime Against Person,96
2020-07,MCPD,Crime Against Property,1276
2020-07,MCPD,Crime Against Society,313
2020-07,RCPD,Crime Against Person,26
2020-07,RCPD,Crime Against Property,89
2020-07,RCPD,Crime Against Society,98
2020-07,TPPD,Crime Against Person,5
2020-07,TPPD,Crime Against Property,30
2020-07,TPPD,Crime Against Society,16
2020-08,GPD,Crime Against Person,5
2020-08,GPD,Crime Against Property,22
2020-08,GPD,Crime Against Society,11
2020-08,MCPD,Crime Against Not a Crime,8
2020-08,MCPD,Crime Against Person,121
2020-08,MCPD,Crime Against Property,1242
2020-08,MCPD,Crime Against Society,290
2020-08,RCPD,Crime Against Person,16
2020-08,RCPD,Crime Against Property,79
2020-08,RCPD,Crime Against Society,77
2020-08,TPPD,Crime Against Person,1
2020-08,TPPD,Crime Against Property,45
2020-08,TPPD,Crime Against Society,16
2020-09,GPD,Crime Against Person,2
2020-09,GPD,Crime Against Property,23
2020-09,GPD,Crime Against Society,24
2020-09,MCPD,Crime Against Not a Crime,8
2020-09,MCPD,Crime Against Person,87
2020-09,MCPD,Crime Against Property,1228
2020-09,MCPD,Crime Against Society,312
2020-09,RCPD,Crime Against Not a Crime,1
2020-09,RCPD,Crime Against Person,24
2020-09,RCPD,Crime Against Property,83
2020-09,RCPD,Crime Against Society,96
2020-09,TPPD,Crime Against Person,3
2020-09,TPPD,Crime Against Property,39
2020-09,TPPD,Crime Against Society,18
2020-10,GPD,Crime Against Not a Crime,1
2020-10,GPD,Crime Against Person,6
2020-10,GPD,Crime Against Property,25
2020-10,GPD,Crime Against Society,19
2020-10,MCPD,Crime Against Not a Crime,10
2020-10,MCPD,Crime Against Person,78
2020-10,MCPD,Crime Against Property,1122
2020-10,MCPD,Crime Against Society,325
2020-10,RCPD,Crime Against Not a Crime,4
2020-10,RCPD,Crime Against Person,18
2020-10,RCPD,Crime Against Property,65
2020-10,RCPD,Crime Against Society,86
2020-10,TPPD,Crime Against Person,5
2020-10,TPPD,Crime Against Property,27
2020-10,TPPD,Crime Against Society,8
2020-11,GPD,Crime Against Person,5
2020-11,GPD,Crime Against Property,29
2020-11,GPD,Crime Against Society,23
2020-11,MCPD,Crime Against Not a Crime,13
2020-11,MCPD,Crime Against Person,84
2020-11,MCPD,Crime Against Property,1129
2020-11,MCPD,Crime Against Society,279
2020-11,RCPD,Crime Against Person,16
2020-11,RCPD,Crime Against Property,63
2020-11,RCPD,Crime Against Society,68
2020-11,TPPD,Crime Against Not a Crime,1
2020-11,TPPD,Crime Against Person,3
2020-11,TPPD,Crime Against Property,21
