month_year,match_status,category,count
2019-11,Match,theft from auto,312
2019-11,Match,theft from person,22
2019-11,Match,theft from property,512
2019-11,Match,theft of auto,53
2019-11,Match,theft of parts,62
2019-11,Match,traffic or accident,23
2019-11,Match,violent crime,94
2019-12,Crime,domestic incident,1
2019-12,Crime,drug related,90
2019-12,Crime,fraud,11
2019-12,Crime,human trafficking,1
2019-12,Crime,other,124
2019-12,Crime,runaway,1
2019-12,Crime,sex crime,3
2019-12,Crime,sexual assault,6
2019-12,Crime,theft from auto,28
2019-12,Crime,theft from person,7
2019-12,Crime,theft from property,65
2019-12,Crime,theft of auto,3
2019-12,Crime,theft of parts,6
2019-12,Crime,traffic or accident,60
2019-12,Crime,violent crime,20
2019-12,Dispatch,no crime report,15572
2019-12,Match,abduction,1
2019-12,Match,domestic incident,3
2019-12,Match,drug related,30
2019-12,Match,fraud,96
2019-12,Match,other,328
2019-12,Match,runaway,11
2019-12,Match,sexual assault,18
2019-12,Match,theft from auto,316
2019-12,Match,theft from person,18
2019-12,Match,theft from property,493
2019-12,Match,theft of auto,49
2019-12,Match,theft of parts,57
2019-12,Match,traffic or accident,23
2019-12,Match,violent crime,94
2020-01,Crime,domestic incident,2
2020-01,Crime,drug related,97
2020-01,Crime,fraud,18
2020-01,Crime,human trafficking,1
2020-01,Crime,other,163
2020-01,Crime,runaway,2
2020-01,Crime,sex crime,6
2020-01,Crime,sexual assault,12
2020-01,Crime,theft from auto,41
2020-01,Crime,theft from person,6
2020-01,Crime,theft from property,80
2020-01,Crime,theft of auto,6
2020-01,Crime,theft of parts,2
2020-01,Crime,traffic or accident,33
2020-01,Crime,violent crime,18
2020-01,Dispatch,no crime report,14936
2020-01,Match,drug related,32
2020-01,Match,fraud,119
2020-01,Match,other,327
2020-01,Match,runaway,10
2020-01,Match,sexual assault,19
2020-01,Match,theft from auto,317
2020-01,Match,theft from person,22
2020-01,Match,theft from property,469
2020-01,Match,theft of auto,44
2020-01,Match,theft of parts,51
2020-01,Match,traffic or accident,20
2020-01,Match,violent crime,94
2020-02,Crime,domestic incident,1
2020-02,Crime,drug related,82
2020-02,Crime,fraud,12
2020-02,Crime,other,162
2020-02,Crime,runaway,3
2020-02,Crime,sex crime,9
2020-02,Crime,sexual assault,5
2020-02,Crime,theft from auto,25
2020-02,Crime,theft from person,3
2020-02,Crime,theft from property,67
2020-02,Crime,theft of auto,3
2020-02,Crime,theft of parts,4
2020-02,Crime,traffic or accident,50
2020-02,Crime,violent crime,11
2020-02,Dispatch,no crime report,14084
2020-02,Match,domestic incident,3
2020-02,Match,drug related,21
2020-02,Match,fraud,87
2020-02,Match,other,338
2020-02,Match,runaway,14
2020-02,Match,sexual assault,16
2020-02,Match,theft from auto,235
2020-02,Match,theft from person,20
2020-02,Match,theft from property,450
2020-02,Match,theft of auto,46
2020-02,Match,theft of parts,46
2020-02,Match,traffic or accident,23
2020-02,Match,violent crime,86
2020-03,Crime,drug related,73
2020-03,Crime,fraud,4
2020-03,Crime,other,134
2020-03,Crime,runaway,6
2020-03,Crime,sex crime,2
2020-03,Crime,sexual assault,3
2020-03,Crime,theft from auto,29
2020-03,Crime,theft from person,1
2020-03,Crime,theft from property,60
2020-03,Crime,theft of auto,7
2020-03,Crime,theft of parts,3
2020-03,Crime,traffic or accident,20
2020-03,Crime,violent crime,10
2020-03,Dispatch,no crime report,14238
2020-03,Match,domestic incident,2
2020-03,Match,drug related,18
2020-03,Match,fraud,86
2020-03,Match,other,322
2020-03,Match,runaway,20
2020-03,Match,sex materials,1
2020-03,Match,sexual assault,14
2020-03,Match,theft from auto,306
2020-03,Match,theft from person,17
2020-03,Match,theft from property,451
2020-03,Match,theft of auto,67
2020-03,Match,theft of parts,85
2020-03,Match,traffic or accident,14
2020-03,Match,violent crime,104
2020-04,Crime,drug related,12
2020-04,Crime,fraud,7
2020-04,Crime,human trafficking,1
2020-04,Crime,other,52
2020-04,Crime,runaway,2
2020-04,Crime,sex materials,1
2020-04,Crime,sexual assault,5
2020-04,Crime,theft from auto,27
2020-04,Crime,theft from person,3
2020-04,Crime,theft from property,36
2020-04,Crime,theft of auto,6
2020-04,Crime,theft of parts,1
2020-04,Crime,traffic or accident,5
2020-04,Crime,violent crime,8
2020-04,Dispatch,no crime report,12109
2020-04,Match,domestic incident,2
2020-04,Match,drug related,14
2020-04,Match,fraud,91
2020-04,Match,other,241
2020-04,Match,runaway,12
2020-04,Match,sexual assault,17
2020-04,Match,theft from auto,342
2020-04,Match,theft from person,7
2020-04,Match,theft from property,331
2020-04,Match,theft of auto,52
2020-04,Match,theft of parts,33
2020-04,Match,traffic or accident,15
2020-04,Match,violent crime,72
2020-05,Crime,domestic incident,1
2020-05,Crime,drug related,23
2020-05,Crime,fraud,10
2020-05,Crime,human trafficking,1
2020-05,Crime,other,81
2020-05,Crime,runaway,2
2020-05,Crime,sex crime,1
2020-05,Crime,sexual assault,6
2020-05,Crime,theft from auto,33
2020-05,Crime,theft from person,3
2020-05,Crime,theft from property,49
2020-05,Crime,theft of auto,5
2020-05,Crime,theft of parts,2
2020-05,Crime,traffic or accident,10
2020-05,Crime,violent crime,10
2020-05,Dispatch,no crime report,13920
2020-05,Match,domestic incident,5
2020-05,Match,drug related,26
2020-05,Match,fraud,87
2020-05,Match,other,299
2020-05,Match,runaway,11
2020-05,Match,sexual assault,22
2020-05,Match,theft from auto,339
2020-05,Match,theft from person,12
2020-05,Match,theft from property,475
2020-05,Match,theft of auto,59
2020-05,Match,theft of parts,59
2020-05,Match,traffic or accident,7
2020-05,Match,violent crime,78
2020-06,Crime,drug related,17
2020-06,Crime,fraud,5
2020-06,Crime,other,79
2020-06,Crime,sexual assault,6
2020-06,Crime,theft from auto,22
2020-06,Crime,theft from person,2
2020-06,Crime,theft from property,50
2020-06,Crime,theft of auto,7
2020-06,Crime,theft of parts,8
2020-06,Crime,traffic or accident,20
2020-06,Crime,violent crime,14
2020-06,Dispatch,no crime report,13976
2020-06,Match,domestic incident,3
2020-06,Match,drug related,9
2020-06,Match,fraud,98
2020-06,Match,other,286
2020-06,Match,runaway,8
2020-06,Match,sexual assault,8
2020-06,Match,theft from auto,361
2020-06,Match,theft from person,12
2020-06,Match,theft from property,493
2020-06,Match,theft of auto,62
2020-06,Match,theft of parts,81
2020-06,Match,traffic or accident,15
2020-06,Match,violent crime,90
2020-07,Crime,abduction,2
2020-07,Crime,domestic incident,1
2020-07,Crime,drug related,15
2020-07,Crime,fraud,8
2020-07,Crime,other,66
2020-07,Crime,sex materials,1
2020-07,Crime,sexual assault,12
2020-07,Crime,theft from auto,16
2020-07,Crime,theft from person,3
2020-07,Crime,theft from property,46
2020-07,Crime,theft of auto,5
2020-07,Crime,theft of parts,3
2020-07,Crime,traffic or accident,17
2020-07,Crime,violent crime,10
2020-07,Dispatch,no crime report,14892
2020-07,Match,domestic incident,3
2020-07,Match,drug related,17
2020-07,Match,fraud,117
